First Name,Last Name,Grad School,Title,Department,School
Alan,Allport,University of Pennsylvania,Assistant Professor,History,Syracuse
Kristi,Andersen,University of Chicago,Professor,Political Science,Syracuse
Douglas,Armstrong,University of California,Professor,Anthropology,Syracuse
Elizabeth,Ashby,Syracuse University,Assistant Professor,Economics,Syracuse
Shena,Ashley,Georgia State University and Georgia Institute of Technology,Assistant Professor,Public Administration and International Affairs,Syracuse
Badi,Baltagi,University of Pennsylvania,,,Syracuse
William,Banks,University of Denver,Professor,Public Administration and International Affairs,Syracuse
Michael,Barkun,Northwestern University,Professor Emeritus,Political Science,Syracuse
Hossein,Bashiriyeh,Political Theory,Lecturer,Political Science,Syracuse
Jacob,Bendix,University of Georgia,Associate Professor,Geography,Syracuse
David,Bennett,University of Chicago,Professor Emeritus,History,Syracuse
James,Bennett,MIT,Associate Professor Emeritus,Political Science,Syracuse
Catherine,Bertini,State University of New York at Albany,Professor of Practice,Public Administration and International Affairs,Syracuse
Robert,Bifulco,Syracuse University,Associate Professor,Public Administration and International Affairs ,Syracuse
G.,Bonham,Massachusetts Institute of Technology,Professor,International Relations and Political Science,Syracuse
Susan,Borker,University of Chicago,Associate Professor Emerita,Sociology,Syracuse
Mehrzad,Boroujerdi,American University,Professor and Chair,Political Science,Syracuse
Susan,Branson,Northern Illinois University,Professor,History,Syracuse
Richard,Braungart,Pennsylvania State University,Professor Emeritus,Sociology,Syracuse
Steven,Brechin,University of Michigan,Professor Emeritus,Sociology,Syracuse
Stuart,Bretschneider,Ohio State University,,,Syracuse
Walter,Broadnax,Syracuse University,Distinguished Professor,Public Administration and International Affairs,Syracuse
Stuart,Brown,Columbia University,Professor of Practice,Public Administration and International Affairs,Syracuse
Hans,Buechler,Columbia University,Professor,Anthropology,Syracuse
John,Burdick,City University of New York,Professor and Chair,Anthropology,Syracuse
Leonard,Burman,University of Minnesota,Professor,Public Administration and International Affairs ,Syracuse
Kristy,Buzard,University of California,Assistant Professor,Economics,Syracuse
Keith,Bybee,University of California,Professor,Political Science,Syracuse
Horace,Campbell,Sussex University,Professor,Political Science and African American Studies,Syracuse
Frederick,Carriere,Cornell University,Research Professor,Political Science,Syracuse
James,Carroll,Syracuse University,,,Syracuse
Linda,Carty,University of Toronto,Associate Professor,Sociology and African American Studies,Syracuse
A.H.,Castro,University of California,Associate Professor,Anthropology,Syracuse
Craige,Champion,Princeton University,Associate Professor,History,Syracuse
Robert,Christen,Ohio State University,Professor of Practice,Public Administration and International Affairs,Syracuse
